Class Index,Title,Description,DescNamedEntityCount,TitleDescSimilarity,AvgTitleWordLength,TitleWordCount,TitleCharCount,DescAvgWordLength,DescWordCount,DescCharCount,TitleNegSentiment,TitleNeuSentiment,TitlePosSentiment,TitleCompoundSentiment,DescNegSentiment,DescNeuSentiment,DescPosSentiment,DescCompoundSentiment,UppercaseWordCount,TFIDFTopWords,ZeroShotScoreBusiness,ZeroShotScoreWorld,ZeroShotScoreSci/Tech,ZeroShotScoreSports
3,Fears for T N pension after talks,Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.,2,0.3053965,3.857142857,7,33,6,18,127,0.412,0.588,0,-0.4215,0.163,0.837,0,-0.5106,3,"['talks', 'mogul', 'stricken', 'turner', 'disappointed']",0.5836361646652222,0.1778268814086914,0.16510812938213348,0.07342878
4,The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com),"SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.",3,0.5623219,5.214285714,14,86,5.882352941,34,234,0,1,0,0,0,0.898,0.102,0.5106,16,"['space', 'date', 'launch', 'suborbital', 'spaceflight']",0.044574577,0.13718609511852264,0.6826439499855042,0.1355953812599182
4,Ky. Company Wins Grant to Study Peptides (AP),"AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",2,0.73555166,4.75,8,45,4.810810811,37,214,0,0.492,0.508,0.7351,0.049,0.718,0.233,0.802,8,"['grant', 'proteins', 'chemistry', 'ky', 'chains']",0.27768731117248535,0.20611433684825897,0.43248799443244934,0.083710328
4,Prediction Unit Helps Forecast Wildfires (AP),"AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",4,0.28849107,6.666666667,6,45,4.571428571,49,272,0,0.658,0.342,0.3818,0.037,0.963,0,-0.1901,7,"['will', 'places', 'colorful', 'roar', 'maps']",0.1339137703180313,0.3549744784832001,0.42842015624046326,0.082691595
4,Calif. Aims to Limit Farm-Related Smog (AP),"AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.",3,0.6653372,5.285714286,7,43,5.666666667,27,179,0.268,0.732,0,-0.296,0,1,0,0,8,"['smog', 'adopting', 'dairy', 'cow', 'variety']",0.23128589987754822,0.31548795104026794,0.2642952501773834,0.18893086910247803
4,Open Letter Against British Copyright Indoctrination in Schools,"The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of downloading music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.",7,0.5789119,7,8,63,5.1015625,128,780,0,1,0,0,0.047,0.829,0.124,0.9114,7,"['unfortunately', 'emi', 'music', 'letter', 'british']",0.36964523792266846,0.3228633999824524,0.2530553340911865,0.054435965
4,Loosing the War on Terrorism,"\\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\",23,0.14067629,4.8,5,28,6.234693878,98,708,0.739,0.261,0,-0.8591,0,0.949,0.051,0.6249,3,"['jaschan', 'netsky', 'sasser', 'sophos', 'antivirus']",0.1751384139060974,0.34585917,0.3658459782600403,0.11315649747848511
4,"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters",\\FOAF/LOAF  and bloom filters have a lot of interesting properties for social\network and whitelist distribution.\\I think we can go one level higher though and include GPG/OpenPGP key\fingerpring distribution in the FOAF file for simple web-of-trust based key\distribution.\\What if we used FOAF and included the PGP key fingerprint(s) for identities?\This could mean a lot.  You include the PGP key fingerprints within the FOAF\file of your direct friends and then include a bloom filter of the PGP key\fingerprints of your entire whitelist (the source FOAF file would of course need\to be encrypted ).\\Your whitelist would be populated from the social network as your client\discovered new identit ...\\,5,0.54864675,6,8,55,5.733333333,105,708,0,0.665,0.335,0.5473,0,0.855,0.145,0.9468,16,"['key', 'distribution', 'bloom', 'your', 'include']",0.24970513582229614,0.23223146796226501,0.3377792537212372,0.18028409779071808
4,E-mail scam targets police chief,"Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.",0,0.4703486,5.6,5,32,5.833333333,12,81,0.481,0.519,0,-0.5719,0.342,0.658,0,-0.6369,1,"['police', 'chief', 'scam', 'phishing', 'targeted']",0.12329169362783432,0.3283698558807373,0.42601510882377625,0.12232334166765213
4,"Card fraud unit nets 36,000 cards","In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrests - and estimates it saved 65m.",5,0.6646751,4.666666667,6,33,4.6,25,139,0.432,0.568,0,-0.5859,0.285,0.548,0.167,-0.6249,1,"['cards', 'fraud', 'card', 'unit', '36']",0.33838266134262085,0.1497558206319809,0.40039461851119995,0.1114669218659401
